"Dataset ID","Target Gene","T(co)F","Molecular Type","Knock-Method","Tissue Type","Biosample Name","Profile ID","Platform","Mean Expr. of Control","Mean Expr. of Treat","Fold Change","Log2FC"
"DataSet_01_301","SREBF1","PTEN","TcoF","shRNA","Skin","A431","GSE7562","GPL570","1317.7","3923.04","2.97719","1.57395"
"DataSet_01_308","SREBF1","SOX9","TF","siRNA","Prostate","VCaP","GSE76441","GPL570","84.2","191.837","2.27836","1.18799"
"DataSet_01_309","SREBF1","SOX9","TF","siRNA","Prostate","VCaP","GSE76452","GPL570","84.2","191.837","2.27836","1.18799"
"DataSet_01_315","SREBF1","ARNT","TF","siRNA","Upper_aerodigestive_tract","HSC3","GSE80347","GPL2895","2204.24","3477.99","1.57786","0.65797"
"DataSet_01_332","SREBF1","TOX","TF","shRNA","Haematopoietic_and_lymphoid_tissue","HPB-ALL","GSE89607","GPL16686","180.177","96.077","0.53324","-0.90714"
"DataSet_01_351","SREBF1","SMAD2","TF","siRNA","Pancreas","BxPC-3","GSE8464","GPL4525","0","0","1.52537","0.60916"
"DataSet_01_362","SREBF1","GTF2B","TcoF","siRNA","Cervix","HeLa","GSE48847","GPL4133","0","0","1.9971","0.99791"
"DataSet_02_032","SREBF1","NFE2L1","TF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR385ZTW","-","263.63","144.22","0.547055","-0.870243"
"DataSet_02_033","SREBF1","TEAD2","TF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR074FBG","-","263.63","120.015","0.45524","-1.1353"
"DataSet_02_035","SREBF1","LDB1","TcoF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR046FQX","-","263.63","146.96","0.557448","-0.843091"
"DataSet_02_043","SREBF1","TBL1XR1","TcoF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR800PWS","-","263.63","141.86","0.538103","-0.894047"
"DataSet_02_045","SREBF1","HMGN3","TcoF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR160YSN","-","263.63","167.75","0.636308","-0.652202"
"DataSet_02_047","SREBF1","SMARCA4","TF;TcoF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR126GEQ","-","263.63","122.34","0.464059","-1.10762"
"DataSet_02_053","SREBF1","TLE2","TcoF","CRISPRi","Haematopoietic_and_lymphoid_tissue","K562","ENCSR399QAP","-","263.63","171.375","0.650059","-0.621358"
"DataSet_02_109","SREBF1","HNRNPUL1","TcoF","shRNA","Liver","HepG2","ENCSR689ZJC","-","29.745","45.82","1.54043","0.62333"
"DataSet_02_113","SREBF1","U2AF2","TF","shRNA","Liver","HepG2","ENCSR622MCX","-","30.67","79.045","2.57727","1.36585"
"DataSet_02_119","SREBF1","RBM25","TF","shRNA","Liver","HepG2","ENCSR610AEI","-","32.525","54.83","1.68578","0.75342"
"DataSet_02_125","SREBF1","HNRNPLL","TF","shRNA","Liver","HepG2","ENCSR490DYI","-","63.935","125.725","1.96645","0.97559"
"DataSet_02_126","SREBF1","SNRNP70","TF","shRNA","Liver","HepG2","ENCSR635BOO","-","63.935","40.165","0.62822","-0.67067"
"DataSet_02_128","SREBF1","PRPF4","TF","shRNA","Liver","HepG2","ENCSR215FRI","-","42.85","71.36","1.66534","0.73582"
"DataSet_02_129","SREBF1","TARDBP","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR455TNF","-","49.395","128.685","2.60522","1.38141"
"DataSet_02_134","SREBF1","SRSF9","TF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR113HRG","-","49.395","101.735","2.05962","1.04238"
"DataSet_02_136","SREBF1","HNRNPK","TF;TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR529JNJ","-","49.395","23.615","0.47808","-1.06466"
"DataSet_02_144","SREBF1","PTBP1","TF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR239BCO","-","24.935","16.59","0.66533","-0.58786"
"DataSet_02_158","SREBF1","PSIP1","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR611LQB","-","89.975","140.71","1.56388","0.64513"
"DataSet_02_171","SREBF1","RBM15","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR627NVU","-","42.36","17.995","0.42481","-1.23511"
"DataSet_02_190","SREBF1","RAD21","TcoF","siRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR051NHG","-","47.91","76.4033","1.59473","0.67331"
"DataSet_03_011","SREBF1","AR","TF","siRNA","Prostate","LNCaP","GSE66722","GPL19874","13990.3","25234.9","1.80374","0.850993"
"DataSet_03_063","SREBF1","E2F7","TF","siRNA","Upper_aerodigestive_tract","SCC25","GSE58074","GPL10558","7.30969","7.99271","1.6055","0.683024"
"DataSet_03_065","SREBF1","EP300","TcoF","siRNA","Prostate","LNCaP","GSE66722","GPL19874","21556.2","13517.2","0.627068","-0.673307"
"DataSet_03_147","SREBF1","Klf4","TF","siRNA","Skin","Primary neonatal keratinocytes","GSE32685","GPL570","7.69683","8.47537","1.7154","0.778544"
"DataSet_03_150","SREBF1","KLF5","TF","siRNA","Stomach","KatoIII","GSE51706","GPL570","8.90753","8.25864","0.637773","-0.648886"
"DataSet_03_163","SREBF1","MEF2D","TF","siRNA","Liver","HuH7","GSE37123","GPL6480","10.0867","11.2695","2.27025","1.18285"
"DataSet_03_168","SREBF1","MITF","TF","siRNA","Skin","SK-MEL-5","GSE75810","GPL16043","167.073","106.013","0.634533","-0.656232"
