"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"CD8B",203.46190153098,2.84453227225842,0.347787676121623,8.17893349177695,2.86367103835231e-16,2.42578970321517e-13,"Up"
"ZC3H12D",58.8801919009707,1.81988058492605,0.223331585357587,8.14878281552586,3.67605474617194e-16,2.97856331520262e-13,"Up"
"IDO1",546.929878285428,3.19583614823222,0.393114821525808,8.12952341971776,4.30981491386978e-16,3.34657128061988e-13,"Up"
"RASAL3",424.335868944434,1.82777538308234,0.225632073829894,8.10068955205509,5.46485428807968e-16,4.07372098050612e-13,"Up"
"ARHGAP9",352.678596355343,1.74871358876171,0.217346938537217,8.04572450171535,8.57366722937183e-16,6.14534086486821e-13,"Up"
"CD3G",126.510277341035,2.31169014117568,0.287750481116214,8.03366212354675,9.46055015863788e-16,6.52988195393984e-13,"Up"
"CR2",17.8405744250377,4.36096491424933,0.544482629246786,8.00937381653864,1.15293964690108e-15,7.67363687844587e-13,"Up"
"POU2AF1",255.149162673559,2.86599114995387,0.358910653599051,7.98524959126887,1.40238265647476e-15,8.71160106202121e-13,"Up"
"LAX1",62.2028790515513,2.60404830066157,0.326066997377559,7.9862369439563,1.39120170182325e-15,8.71160106202121e-13,"Up"
"CD5",261.800045913708,2.15688579508938,0.271304695825932,7.95004962418058,1.86436819106252e-15,1.12078598737552e-12,"Up"
"TIGIT",318.880700017721,2.39897549907575,0.302064069092895,7.94194260270652,1.99039045887916e-15,1.15915364348975e-12,"Up"
"TBX21",70.1616859943968,2.22202617199003,0.280779544452251,7.9137751160783,2.49699167706777e-15,1.41011929981318e-12,"Up"
"SPOCK2",1041.71909360708,1.78896006483438,0.226187745855832,7.90918207379202,2.59085455891405e-15,1.4200931047036e-12,"Up"
"CD7",528.675619853147,2.4933649747777,0.315769030850923,7.8961669168717,2.87611461525729e-15,1.53140777056957e-12,"Up"
"IKZF3",590.097804617614,2.37740259877644,0.304308603236602,7.81247251471228,5.60768753439017e-15,2.90291291363598e-12,"Up"
"NUGGC",24.7860713754433,2.82326920738041,0.36223654096883,7.79399339401086,6.49239428279973e-15,3.27006107714205e-12,"Up"
"MEI1",119.130244697599,1.87585071366355,0.241355657398325,7.77214312638924,7.71691804878023e-15,3.78453907255443e-12,"Up"
"CYTIP",205.092659895344,1.77728992163627,0.229697892181051,7.737510800645,1.01382072414283e-14,4.78807271192378e-12,"Up"
"KIR3DL2",14.3337736563143,3.05606545571986,0.395055849224809,7.73578080597102,1.02770395190465e-14,4.78807271192378e-12,"Up"
"TRAF3IP3",165.058170134782,1.82935508110569,0.237120636828958,7.71487081668582,1.21104833997081e-14,5.37359449135621e-12,"Up"
"PDCD1",234.982860748814,2.70431614719525,0.350408403543102,7.71761213444358,1.18529238753661e-14,5.37359449135621e-12,"Up"
"ADGRG5",103.446900940099,2.14396345181478,0.278822056407228,7.68936101914209,1.47871665379002e-14,6.40868920000718e-12,"Up"
"CXCR6",194.249544487121,2.00359650081903,0.260791059756596,7.68276528608398,1.55690688806531e-14,6.59420835590571e-12,"Up"
"RTP5",10.4688360913852,3.01189757245456,0.392255994997931,7.67839780873318,1.61090586838704e-14,6.67129816961351e-12,"Up"
