"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"CRABP2",4764.88333986296,-1.48453680924843,0.404068146678303,-3.67397633654686,0.000238804858425587,0.0139113553357759,"Down"
"ECRG4",49.060196771449,-1.94278311884102,0.529249740030897,-3.67082489020703,0.000241768940696782,0.0140382978422768,"Down"
"TG",56.5296904078379,1.05002133542045,0.286248158010162,3.6682204095901,0.000244244589455741,0.0141361496369789,"Up"
"TPPP3",744.804427848684,-0.966827276252411,0.263659867818326,-3.6669489530299,0.000245461772499994,0.0141607688367416,"Down"
"FAM9C",3.04424139825639,2.66282163153626,0.726400474362066,3.66577628390838,0.000246589426834685,0.014180081381066,"Up"
"GDPD2",61.9868983031696,-1.60336691778048,0.437645443194614,-3.66362072932058,0.000248674923009297,0.0142541741124945,"Down"
"PCDHGA9",89.8138737007043,1.31456519228346,0.358937089605487,3.66238327091892,0.000249879625321098,0.0142774671541294,"Up"
"LCAT",348.38461894422,-0.717574225528941,0.195991777289108,-3.66124658623022,0.000250991042753107,0.0142952987534923,"Down"
"HSD3B7",1080.14690163061,-0.843845709237784,0.230546083753351,-3.6602040490116,0.000252014480128744,0.0143080221035634,"Down"
"RPS25",18120.2579664808,-0.523152443696301,0.143197564302205,-3.65336132807564,0.000258829600297827,0.014611971645933,"Down"
"GALNT15",90.2145096853489,0.942671356931921,0.258097705700186,3.65238177679485,0.000259819222959444,0.014611971645933,"Up"
"LUZP4",22.0809187352184,-2.97802906640812,0.815194802916268,-3.65315021115757,0.000259042588587093,0.014611971645933,"Down"
"SPAG6",22.2165310838707,1.71473241603018,0.469707565419821,3.65063827425808,0.000261589434045872,0.0146516538276584,"Up"
"BDKRB1",17.602542854436,-1.24192315353959,0.340305488767178,-3.64943615231917,0.00026281655055633,0.0146516538276584,"Down"
"PCDHA13",10.0987927406447,2.4914168945311,0.682715787374636,3.64927388615367,0.000262982603370518,0.0146516538276584,"Up"
"GJB5",388.598922793284,-2.03522613522536,0.557979623404966,-3.64749186145146,0.00026481269667087,0.0147077958610616,"Down"
"LTB4R2",83.2575178988325,-1.00752466760143,0.276613308053452,-3.64235789916058,0.000270152113636226,0.0149578959760689,"Down"
"ALDH3B1",2342.46248533959,0.856425451480234,0.235243812352502,3.64058651709367,0.000272017681849419,0.0150147043894908,"Up"
"KRT34",44.472580061665,-2.36518995620326,0.650006176311564,-3.63871920359963,0.000273997351519433,0.015077441952534,"Down"
"SLC25A29",1157.96256797055,-0.548242492669956,0.150767707530728,-3.63633898564264,0.000276540365333657,0.0150781947976437,"Down"
"RNASE7",274.639140678997,-2.25036696417197,0.618631804517533,-3.63765158489874,0.000275135267703645,0.0150781947976437,"Down"
"XAGE2",16.9644440307625,3.14866652848296,0.865717372667369,3.63706057876785,0.000275767091696108,0.0150781947976437,"Up"
"ZPLD1",3.70813293329978,1.51716879783181,0.41752881120427,3.63368648370843,0.000279400337912111,0.0151878287027969,"Up"
"DPP6",288.793354854003,-2.12995980085228,0.586395610395296,-3.63229151633051,0.000280915513615811,0.0152239183197126,"Down"
"ZNF503",997.449089032213,-0.615423080149562,0.169671276613805,-3.62714946472849,0.000286567426569859,0.01533623364859,"Down"
"PCDHGA2",120.802887584046,1.0842754776153,0.298951628545265,3.62692614484662,0.000286815287425902,0.01533623364859,"Up"
"RRAD",54.4131581613555,-1.15406703703212,0.318230601712055,-3.62651181509049,0.000287275680623891,0.01533623364859,"Down"
"SPRR2B",658.375709668024,-3.02019431095628,0.83245682771179,-3.62804917974909,0.000285570871915461,0.01533623364859,"Down"
"JPH3",10.2764313449271,1.33017090108977,0.366773439670612,3.62668273439962,0.000287085675391019,0.01533623364859,"Up"
"GPR55",57.6195699087956,-1.20263126008684,0.331726624551188,-3.62536851455304,0.000288549682253347,0.0153584003494609,"Down"
"PM20D1",7.7357580945464,-1.53934257602169,0.424993828735012,-3.62203512602412,0.000292294419541565,0.015511553113001,"Down"
"NEU4",10.8138593061802,-1.49978948258099,0.415055347837576,-3.61346863832702,0.000302127913987571,0.0159779912005696,"Down"
"SPACA4",1.60634943927541,-1.93197906823839,0.534754713496271,-3.61283223780665,0.000302870667467742,0.0159779912005696,"Down"
"RTEL1-TNFRSF6B",116.24735571421,-0.895358197454527,0.248353725012538,-3.60517321578054,0.000311944795391827,0.0163601780668253,"Down"
"MYO10",25399.5136128533,0.615773236747115,0.170946560466012,3.60213879161111,0.000315609771824604,0.0164558751000327,"Up"
"ST14",2151.26290178229,-1.43591099371173,0.398562024360531,-3.60272907589619,0.000314893683701273,0.0164558751000327,"Down"
"KLHL23",160.4379563734,-0.982970821816075,0.27301857879679,-3.60038069990727,0.000317751597428345,0.0165193882802573,"Down"
"MAGEA4",130.921935527295,3.22517251191528,0.896089221817374,3.59916449544417,0.00031924121317607,0.0165487242215676,"Up"
"KRT31",18.9840239045839,-2.18000680356695,0.605825984876124,-3.59840425796973,0.000320175674809154,0.0165491958621009,"Down"
"PRRG2",87.5617736202983,-1.15489346059766,0.32105315966911,-3.59720322263122,0.000321657171322062,0.0165778583628927,"Down"
"SPNS2",624.704623745389,-1.11105814310294,0.309150994717879,-3.59390123947962,0.000325763357518784,0.0166455768167598,"Down"
"PDE1A",86.4623569442705,1.19202565619184,0.331677488386457,3.59392994077108,0.000325727455575928,0.0166455768167598,"Up"
"GJB3",677.215133872014,-1.95945976800504,0.545119930102629,-3.5945480247551,0.000324955203107548,0.0166455768167598,"Down"
"C5orf15",3726.27093909391,0.510642514737561,0.142143765684702,3.59243694071148,0.000327599945343214,0.0166917305484844,"Up"
"PLK3",1544.85937983474,-0.589391174289016,0.164133456697499,-3.59092647013018,0.00032950459401365,0.0167410799981253,"Down"
"DENND1A",2197.6094564598,0.553973766733042,0.154587320838392,3.58356535147003,0.000338935913608328,0.0171714727449613,"Up"
"CDC42EP4",2732.62584652208,0.834993935723157,0.233066594977258,3.58264098638688,0.000340137931852864,0.0171836914498774,"Up"
"KANTR",498.08807144772,-0.786876482537004,0.219820327249016,-3.57963475163795,0.00034407478827438,0.0173336155309831,"Down"
"TNFSF15",70.0182725100573,1.17138625327837,0.327463528149184,3.57715028570973,0.000347360483190678,0.0173501328336111,"Up"
"CXXC4",29.5945357196581,1.46275797491949,0.408878674559412,3.57748658937931,0.000346914011984477,0.0173501328336111,"Up"
"DDTL",73.9152191496194,-0.669803523074618,0.187281328540447,-3.576456490856,0.000348283252475194,0.0173501328336111,"Down"
"RHBDL1",95.5777315158059,-0.843780870918113,0.236073493529019,-3.57422961089189,0.000351260588299199,0.0174015079256035,"Down"
"AC068946.1",7.02692665425789,-1.0582118183371,0.296038559615184,-3.57457427070532,0.000350798226707967,0.0174015079256035,"Down"
"D2HGDH",973.689702310974,-0.597675974184918,0.167313953608911,-3.5721824826515,0.000354018581205994,0.0174415104856419,"Down"
"GAST",2.39115629531585,-2.23722596504478,0.626859433976237,-3.5689436000888,0.000358423567851973,0.0176100194710569,"Down"
"HCAR2",100.101016081795,-1.53558457629179,0.430540798760237,-3.56664125842099,0.0003615859381136,0.017692211169798,"Down"
"NPIPB6",2.65088447564304,-1.52042284334223,0.426332174947068,-3.56628688306483,0.000362074999337177,0.017692211169798,"Down"
"NACC2",3788.65829186502,0.508729048900805,0.142854567949296,3.56116753005316,0.000369209405134791,0.0179916648540344,"Up"
"BNIPL",642.258830240439,-1.70474836514237,0.479763661095722,-3.55330864627999,0.000380417845419631,0.0184373787194707,"Down"
"TMPRSS4",512.828356622769,-2.18561461085262,0.615873674601399,-3.54880343321571,0.000386985845807796,0.0186545953272955,"Down"
"OCIAD2",504.997774683073,-1.02637362734136,0.289643277750624,-3.5435782777774,0.00039473610935617,0.0189261677740637,"Down"
"KPNA7",2.55792313450623,-1.70662708675815,0.48161100869423,-3.54357989321143,0.000394733690992285,0.0189261677740637,"Down"
"PABPN1",458.139075761676,-0.70153189624447,0.198035192967746,-3.54246074009042,0.00039641242560768,0.0189557214426945,"Down"
"NDUFA4L2",2711.19426668035,-1.24326570256939,0.351220709010961,-3.53984167411551,0.000400367142612356,0.0190937759426117,"Down"
"EPYC",25.6947997351372,1.59307314809598,0.450304559207415,3.5377681960404,0.000403524145843603,0.0191931537879441,"Up"
"FRMPD4",10.3680667255074,1.89079262206952,0.534566254307482,3.53705945116007,0.000404608577727038,0.0191936864829452,"Up"
"NES",28909.8328536365,0.827864209292011,0.234156596091178,3.53551521977903,0.000406980800296166,0.0191995599423049,"Up"
"TM7SF2",1004.85902067185,-1.03117752828298,0.291714612013772,-3.53488473259712,0.000407953074148729,0.0191995599423049,"Down"
"ZFP42",12.2054621090873,-1.83506499166207,0.519110140728541,-3.53502050467876,0.000407743516989882,0.0191995599423049,"Down"
"PLEKHG5",592.848100383361,-0.964595004939699,0.272953815909209,-3.53391287726327,0.000409456022285003,0.0192197152297769,"Down"
"SERPIND1",12.2432498013241,-1.70518275563078,0.482693639542055,-3.53263978628045,0.000411432648919451,0.019261941081873,"Down"
"JTB",417.722232202488,-0.556371733799812,0.157631258935053,-3.52957743000103,0.000416223887968559,0.0193344104218954,"Down"
"NECTIN4",781.422069368716,-1.56504659458157,0.443408526727673,-3.5295816391523,0.000416217266884505,0.0193344104218954,"Down"
"EPHA1",370.639514124102,-1.39672945343248,0.395649516955241,-3.5302190286523,0.000415215774185151,0.0193344104218954,"Down"
"KLK5",3461.64127366625,-2.5332322585456,0.718629846997658,-3.52508634191735,0.000423344783061281,0.0196080298972994,"Down"
"SELENOV",1.21072289695666,-1.59708547169775,0.453140114499607,-3.52448485709852,0.000424307066106849,0.0196080298972994,"Down"
"SLC6A4",14.7764363682654,-0.954333726125312,0.270827469941982,-3.52377004566691,0.000425453310117682,0.0196103273148057,"Down"
"ESYT3",129.833024184778,-1.30533012273371,0.370686024691372,-3.52139016792045,0.00042929046215165,0.0197363255144476,"Down"
"CRYBG2",522.965188782941,-1.81645448910986,0.515996590879405,-3.52028389570192,0.000431085118953408,0.0197680160701609,"Down"
"SLURP2",13.1796556363518,-2.81551758448351,0.80011462613432,-3.51889278425821,0.000433351800369312,0.0198211345212398,"Down"
"MAEL",5.87797461589796,2.21998373442127,0.631227473427425,3.51693141993212,0.000436566562239382,0.019917235711962,"Up"
"SGPP2",552.010240983661,-1.33842810670064,0.380819955244666,-3.51459551493498,0.000440424255966242,0.0199463243011427,"Down"
"FAIM2",63.8568608832896,-1.18705857981043,0.337758414792228,-3.51451963244396,0.000440550106181579,0.0199463243011427,"Down"
"TRPM3",106.925017442932,1.07977968840641,0.307403180892924,3.51258462996362,0.000443770649298677,0.020041399727418,"Up"
"TMEM184A",326.200256860249,-1.80287496069658,0.513563226973456,-3.51052191045946,0.000447227949549597,0.0201466615862594,"Down"
"CCDC154",153.505863537529,-1.01443272561017,0.289326974062239,-3.50618095287566,0.000454586057932494,0.0204266760303134,"Down"
"AKR1C2",188.70215846371,-1.38158187004053,0.394339098189642,-3.50353763140197,0.000459121779324246,0.0205787817078567,"Down"
"CD207",173.348835932129,-1.48025271267048,0.422588355308265,-3.50282418830656,0.000460353205909131,0.0205823918361972,"Down"
"ALG8",4649.34071396939,0.718787340860257,0.205564931597942,3.49664378682114,0.000471150505565738,0.0206430450058628,"Up"
"MAPK8IP3",3366.89464331545,-0.692292108923725,0.19796225122303,-3.49709151440074,0.000470360446820796,0.0206430450058628,"Down"
"NKAIN4",892.807968488263,-1.29147309347357,0.36934737436344,-3.4966353712393,0.000471165367522663,0.0206430450058628,"Down"
"NOX5",267.366439076547,-1.41619060497151,0.405076376973318,-3.49610761198448,0.000472098267020683,0.0206430450058628,"Down"
"CITED4",570.753757254755,-1.3181357109795,0.376731230360587,-3.49887560348488,0.000467224507054476,0.0206430450058628,"Down"
"PLCH2",276.326195512167,-1.25215899986337,0.358039823377512,-3.49726180750322,0.000470060272694988,0.0206430450058628,"Down"
"CCDC17",49.2316661053549,-0.761229885269049,0.217535886297271,-3.49933014835447,0.000466428665442032,0.0206430450058628,"Down"
"CORO6",112.143511422929,-1.0986276086653,0.31445282562918,-3.49377559723652,0.000476241144751112,0.0207647142379244,"Down"
"KRTCAP3",103.677780404501,-1.00935062668824,0.288964396878382,-3.49299303856126,0.000477638960502837,0.0207647142379244,"Down"
"EEF1AKMT2",156.170845941737,-0.546206050450545,0.156455426047383,-3.49112884256968,0.000480984241172989,0.0207760861474671,"Down"
"PRODH",236.993376794789,1.35295853035285,0.387520073575308,3.49132502445689,0.000480631168672915,0.0207760861474671,"Up"
"SLC5A10",158.878832591323,-1.32615624484124,0.379959706793953,-3.49025494316533,0.000482559956474447,0.0207760861474671,"Down"
"ADIPOQ",2.75232172856955,3.35886097853445,0.962462837393747,3.48986043724027,0.000483272860509187,0.0207760861474671,"Up"
"CDH11",914.033815164877,0.784938899172297,0.225166053336845,3.48604457705727,0.000490219308634201,0.0209738806593638,"Up"
"CRACD",987.109073734402,0.726886547031632,0.20850885210145,3.48611840555318,0.000490084031350225,0.0209738806593638,"Up"
"CIR1",1690.02546941449,-0.544543733547892,0.156336377284982,-3.48315435604124,0.000495542558845281,0.0209756733896318,"Down"
"ZNF692",1562.59286899474,-0.652416512343536,0.187249604394501,-3.48420769407349,0.000493596294336464,0.0209756733896318,"Down"
"SMAGP",249.208888739339,-1.00010749640022,0.287137962131943,-3.48302080635599,0.000495789830603674,0.0209756733896318,"Down"
"PRSS27",455.764932628597,-1.15169967646177,0.33060380786819,-3.48362495849093,0.000494672138754012,0.0209756733896318,"Down"
"VTN",69.6566560101273,1.19838386800506,0.34414489037953,3.48220735366276,0.000497298452091472,0.0209756733896318,"Up"
"TJP3",36.7127880513236,-1.22027441539588,0.350417564583331,-3.48234374851291,0.000497045197210233,0.0209756733896318,"Down"
"FOSL1",1995.37798103504,-1.00265992813075,0.288325507940946,-3.47752765716487,0.000506060839410574,0.0212010782949595,"Down"
"PAPLN",562.23485124833,-0.771953658542702,0.22233270419386,-3.47206526067172,0.000516470768703205,0.0212010782949595,"Down"
"NOX4",414.512219440913,-1.26826498292797,0.365288486316372,-3.47195444268544,0.000516684010521552,0.0212010782949595,"Down"
"ZC3H12A",711.600137731449,-1.04063964374406,0.29976258039298,-3.47154618958714,0.00051747030092587,0.0212010782949595,"Down"
"LY6G6C",1225.3398141755,-2.52236575703042,0.726646119977258,-3.47124368751788,0.000518053635366656,0.0212010782949595,"Down"
"OMG",117.501991367953,1.17957815673929,0.33921539959621,3.47737207138419,0.000506354619761379,0.0212010782949595,"Up"
"WNT10A",140.555404722623,-1.29246665568324,0.371870375240889,-3.47558381020809,0.00050974268727808,0.0212010782949595,"Down"
"ANKK1",23.4596079054363,-1.32364218173274,0.381284132671798,-3.47153754460614,0.000517486963104205,0.0212010782949595,"Down"
"CLDN9",18.2724092507056,-1.37938236958403,0.396596447975736,-3.4780502362654,0.000505075257307113,0.0212010782949595,"Down"
"CDSN",8.53986409914938,-2.473535603996,0.711903103394272,-3.47453971221992,0.000511730610826127,0.0212010782949595,"Down"
"USH1G",85.0576499786686,-2.02460500833662,0.583563675083615,-3.46938148274312,0.000521658167397692,0.0212998508350236,"Down"
"AOC2",73.1203354830427,-0.885933374934432,0.255991129172231,-3.46079716824241,0.000538578438009143,0.0218907654212625,"Down"
"RNF39",261.983781221647,-1.16203704272051,0.336008170383389,-3.45835948392151,0.000543475689291088,0.0219898625051625,"Down"
"CSTA",5498.49274477094,-1.80465180247336,0.522488194898897,-3.45395708475781,0.000552425276224488,0.0222512919819792,"Down"
"USP43",107.844533937177,-1.11580427227929,0.323309030622265,-3.45120045094853,0.000558098897636834,0.0223501383745561,"Down"
"ASPG",102.052815546229,-1.71347530589227,0.496523580381584,-3.45094447392698,0.000558628486548121,0.0223501383745561,"Down"
"EDN2",21.2030812484327,-1.80169931079168,0.522060037983715,-3.45113431349803,0.000558235684085132,0.0223501383745561,"Down"
"CENATAC",517.282924817857,-0.641634692499951,0.185981447821826,-3.44999299669207,0.000560601096615302,0.0223789955622055,"Down"
"STARD10",1659.93888144408,-0.827323076492894,0.239865151914103,-3.44911743073526,0.000562422056724165,0.022401683880746,"Down"
"C15orf62",94.2589732104349,-0.884534909459152,0.256497493172953,-3.44851288220085,0.000563682581063672,0.0224019983994283,"Down"
"RAB25",1842.79397805069,-2.08494858777576,0.605113281416503,-3.44555086098114,0.000569896709144058,0.0225987422313355,"Down"
"HOPX",1059.4870884241,-1.57264637490857,0.456672998247097,-3.44370343975897,0.00057380471839612,0.0227033707606111,"Down"
