"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant","change"
"105","ENSG00000166401","SERPINB8",0.4524,3.13518740968671e-05,0.00875393504194876,1.3683,"Up","yes","Up"
"106","ENSG00000167280","ENGASE",-0.4717,2.87610115515934e-07,0.000178068175867256,0.7211,"Down","yes","Down"
"107","ENSG00000168453","HR",0.4544,8.18647004884741e-09,6.66144762831926e-06,1.3702,"Up","yes","Up"
"108","ENSG00000168916","ZNF608",-0.4229,0.000246151177149185,0.0435427672373217,0.7459,"Down","yes","Down"
"109","ENSG00000169247","SH3TC2",0.5755,2.18082236902036e-05,0.00690109122996666,1.4902,"Up","yes","Up"
"110","ENSG00000169871","TRIM56",-0.3776,8.97075345103412e-06,0.00346030507141406,0.7697,"Down","yes","Down"
"111","ENSG00000169908","TM4SF1",-0.2952,4.86135361507661e-06,0.00203604927878503,0.815,"Down","yes","Down"
"112","ENSG00000170955","CAVIN3",0.3648,8.45198403605568e-05,0.0189878659325654,1.2877,"Up","yes","Up"
"113","ENSG00000171867","PRNP",0.3116,2.79489753230343e-05,0.00808647600436071,1.2411,"Up","yes","Up"
"114","ENSG00000171940","ZNF217",-0.3024,6.7546250162717e-05,0.0160309767052848,0.8109,"Down","yes","Down"
"115","ENSG00000172175","MALT1",0.3404,0.00010172044464285,0.0219469565411241,1.2661,"Up","yes","Up"
"116","ENSG00000172667","ZMAT3",-0.3728,0.000126354887252375,0.0262670597733405,0.7723,"Down","yes","Down"
"117","ENSG00000173171","MTX1",0.8196,1.94822981968602e-09,1.84951950882193e-06,1.7649,"Up","yes","Up"
"118","ENSG00000178038","ALS2CL",-0.4416,0.000173069038430992,0.0330805786209037,0.7363,"Down","yes","Down"
"119","ENSG00000178860","MSC",0.4097,7.02365671088604e-05,0.0163962084529536,1.3284,"Up","yes","Up"
"120","ENSG00000179111","HES7",-0.454,0.00026957239835581,0.0462495295492378,0.73,"Down","yes","Down"
"121","ENSG00000180354","MTURN",-0.6018,0.000168275857315532,0.0326020164377303,0.6589,"Down","yes","Down"
"122","ENSG00000180667","YOD1",-0.4434,0.000268254179295028,0.0462495295492378,0.7354,"Down","yes","Down"
"123","ENSG00000181019","NQO1",0.3506,8.205937715288e-08,5.56440728884291e-05,1.275,"Up","yes","Up"
"124","ENSG00000182095","TNRC18",0.2572,0.000277530886854021,0.0473298183089971,1.1951,"Not","no","Up"
"125","ENSG00000182551","ADI1",0.5285,6.13643193162943e-05,0.0151970070793744,1.4425,"Up","yes","Up"
"126","ENSG00000182827","ACBD3",-0.316,5.77801104412517e-05,0.014561130037133,0.8033,"Down","yes","Down"
"127","ENSG00000184897","H1-10",-0.4193,4.24508925060971e-07,0.000251875295536176,0.7478,"Down","yes","Down"
"128","ENSG00000185745","IFIT1",0.3641,0.000199492070553725,0.0371342102573208,1.2871,"Up","yes","Up"
"129","ENSG00000186352","ANKRD37",-0.5606,0.0002045881611651,0.0378355248700133,0.678,"Down","yes","Down"
"130","ENSG00000186480","INSIG1",-0.496,1.02982636642341e-05,0.00391059398876517,0.7091,"Down","yes","Down"
"131","ENSG00000187678","SPRY4",0.3897,2.61493717232974e-06,0.00120118404303147,1.3101,"Up","yes","Up"
"132","ENSG00000196154","S100A4",0.4094,5.47027333577695e-07,0.000293949782269675,1.3281,"Up","yes","Up"
"133","ENSG00000196517","SLC6A9",0.5526,6.20735362879028e-07,0.000327380428422124,1.4668,"Up","yes","Up"
"134","ENSG00000197249","SERPINA1",-0.4077,3.38381209391806e-08,2.40927421086966e-05,0.7538,"Down","yes","Down"
"135","ENSG00000198727","MT-CYB",0.3731,1.52383353830908e-06,0.000742716000595354,1.2951,"Up","yes","Up"
"136","ENSG00000101096","NFATC2",0.312,2.81095900432482e-05,0.00808647600436071,1.2415,"Up","yes","Up"
"137","ENSG00000198959","TGM2",-0.2973,3.07417695355669e-05,0.00866857026111826,0.8138,"Down","yes","Down"
"138","ENSG00000204387","SNHG32",-0.4808,3.91828370776792e-05,0.0106278780949743,0.7166,"Down","yes","Down"
"139","ENSG00000204388","HSPA1B",-0.5514,2.72829765002724e-07,0.000172670926828391,0.6823,"Down","yes","Down"
"140","ENSG00000204569","PPP1R10",0.7501,2.8227004898314e-12,5.74217928217131e-09,1.6819,"Up","yes","Up"
"141","ENSG00000204592","HLA-E",-0.2678,0.000245579482634598,0.0435427672373217,0.8306,"Down","yes","Down"
"142","ENSG00000104972","LILRB1",-0.4574,2.39222327496645e-05,0.00748687020560927,0.7283,"Down","yes","Down"
"143","ENSG00000206337","HCP5",-0.5454,1.80783174426676e-05,0.00598686605543223,0.6852,"Down","yes","Down"
"144","ENSG00000206341","HLA-H",-0.3841,0.000107294217564284,0.0229754835806828,0.7663,"Down","yes","Down"
"145","ENSG00000206503","HLA-A",-0.2639,5.00960336227495e-05,0.0130893122713386,0.8328,"Down","yes","Down"
"146","ENSG00000210082","MT-RNR2",-0.6707,1.02866273778359e-26,1.46481573860383e-22,0.6282,"Down","yes","Down"
"147","ENSG00000211459","MT-RNR1",-0.5528,1.05389677195499e-14,2.74242561106285e-11,0.6817,"Down","yes","Down"
"148","ENSG00000224032","EPB41L4A-AS1",-0.4722,5.7008306561452e-05,0.0144963979541978,0.7209,"Down","yes","Down"
"149","ENSG00000228836","CT45A5",-0.5072,1.5626647855259e-05,0.00529817774902114,0.7036,"Down","yes","Down"
"150","ENSG00000230606","APPAT",0.9874,7.59818381810429e-06,0.00300550382138348,1.9825,"Up","yes","Up"
"151","ENSG00000198938","MT-CO3",1.2358,6.81434847004869e-08,4.73347913236553e-05,2.3552,"Up","yes","Up"
"152","ENSG00000233695","GAS6-AS1",-0.348,0.000136825832940724,0.028034530375193,0.7857,"Down","yes","Down"
"153","ENSG00000234741","GAS5",-0.3822,1.19067881346223e-10,1.78476487407391e-07,0.7673,"Down","yes","Down"
"154","ENSG00000234745","HLA-B",-0.2964,6.04212491434382e-06,0.00245828167943589,0.8143,"Down","yes","Down"
"155","ENSG00000245532","NEAT1",-0.4524,1.79450761059057e-09,1.8252705982007e-06,0.7308,"Down","yes","Down"
"156","ENSG00000245910","SNHG6",-0.3599,0.000286176732021828,0.0479430195763627,0.7792,"Down","yes","Down"
"157","ENSG00000253898","LINC01419",-0.4476,3.82093817404515e-05,0.0104634922304621,0.7333,"Down","yes","Down"
"158","ENSG00000260032","NORAD",-0.25,6.90755432342839e-05,0.0162584419116728,0.8409,"Not","no","Not"
"159","ENSG00000260910","SWINGN",0.8723,1.50038266278861e-05,0.00514830099231563,1.8306,"Up","yes","Up"
"160","ENSG00000265972","TXNIP",-1.0022,2.11219355205062e-40,6.01552723624018e-36,0.4992,"Down","yes","Down"
"161","ENSG00000275216","LINC03061",-0.3272,4.37625638550547e-05,0.011758092628226,0.7971,"Down","yes","Down"
"162","ENSG00000281406","BLACAT1",-0.4913,7.64855847652049e-05,0.017575971941475,0.7114,"Down","yes","Down"
