"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"188","SNAI3",46.2171101638833,1.08036152973142,0.178683019415727,6.04624621446446,1.48259471907863e-09,1.4696614459973e-07,"Up"
"189","P2RX1",48.5946241875068,1.77629913391461,0.294754193886991,6.02637441893581,1.67678485687897e-09,1.65336310014796e-07,"Up"
"190","ACY3",39.4266531254165,2.0965181915051,0.347985968349314,6.02472048355865,1.69402128382707e-09,1.66156740238954e-07,"Up"
"191","GBP5",752.42676534624,1.94305927424469,0.323771300146015,6.0013326485961,1.95704583199372e-09,1.9095029384835e-07,"Up"
"192","PARP15",66.71090839341,1.71906383834502,0.287649606829114,5.97624261439119,2.28342861492025e-09,2.21635289935697e-07,"Up"
"193","C1QA",6785.78343436232,1.5251975673063,0.255292485582053,5.97431437838417,2.31059849215261e-09,2.23110432641223e-07,"Up"
"194","CLEC17A",14.3006911146011,1.74336869374316,0.291999294434421,5.97045515853017,2.36592605123219e-09,2.27275246859604e-07,"Up"
"195","DERL3",103.467349802133,1.80610803985485,0.302603851199904,5.96855602694135,2.39362454130057e-09,2.28756856162449e-07,"Up"
"196","WAS",594.243271827541,1.36815852973907,0.229264728850502,5.9675927326406,2.40779449258545e-09,2.28937031448073e-07,"Up"
"197","ADA2",2308.7814079959,1.42319883696528,0.239190443507208,5.95006563011949,2.68034990105258e-09,2.53558379472162e-07,"Up"
"198","CD52",443.935191438215,1.57475958700385,0.264840425445842,5.94606954113157,2.7465749972178e-09,2.58510967919954e-07,"Up"
"199","STAP1",17.3643369522333,1.92248545252316,0.323674000978799,5.93957329507318,2.85764893691913e-09,2.67613796926758e-07,"Up"
"200","CD53",1072.98259172376,1.38332194101508,0.233100900941983,5.93443412455697,2.94860688909039e-09,2.74751189925443e-07,"Up"
"201","PIM2",1265.10250353846,0.984495980207725,0.166020249548004,5.92997530655478,3.02980241309521e-09,2.80912426718619e-07,"Up"
"202","TAS1R3",54.156231407127,1.67281918200022,0.282902978654745,5.91304902463303,3.35832167764674e-09,3.09830112795171e-07,"Up"
"203","S1PR4",126.158600695015,1.64903495455689,0.27944600290363,5.90108621136935,3.61116135428323e-09,3.31515285706513e-07,"Up"
"204","ANK1",42.9750686917521,1.33863330238984,0.226949905636203,5.89836465733387,3.67121918066069e-09,3.35376669856826e-07,"Up"
"205","GPR25",3.36597171921413,2.52420895925273,0.428199120335729,5.89494195427965,3.74813114669359e-09,3.40732546584301e-07,"Up"
"206","DOK2",391.246447126702,1.21823428438102,0.206769430275211,5.89175238699231,3.8212147185915e-09,3.45690084930443e-07,"Up"
"207","P2RY8",231.445464714582,1.35704697282101,0.23114782233299,5.87090528962913,4.33421835291346e-09,3.90205281279687e-07,"Up"
"208","BCL2L14",14.0012321443206,1.49167643969562,0.254343067295319,5.86482051804318,4.49618779977665e-09,4.02841133829988e-07,"Up"
"209","IGLL1",2.1690744587255,3.20369196945359,0.546443102299173,5.86280978929731,4.55099454347064e-09,4.05800642641717e-07,"Up"
"210","PROKR2",3.69198648698795,3.54669418869981,0.605278329928914,5.85960873424354,4.63959014207453e-09,4.11730485179528e-07,"Up"
"211","MYO1F",910.423096295986,1.20932490302188,0.206487674885995,5.85664448829483,4.7231268096542e-09,4.15189581248658e-07,"Up"
"212","PKHD1L1",11.8209756212571,2.27548842316179,0.388497141668847,5.85715615148952,4.70860363717639e-09,4.15189581248658e-07,"Up"
"213","GNG8",6.39665328036909,1.93786333897827,0.330996876079359,5.85462727604006,4.78080971272584e-09,4.18287182189477e-07,"Up"
"214","NCKAP1L",904.154843028797,1.29187100545432,0.220800612366186,5.85084883420442,4.89070572842757e-09,4.25902766144748e-07,"Up"
"215","AMBP",12.0923899877552,-2.51696956282463,0.431905184125419,-5.82759748050103,5.62310051943097e-09,4.87405122233096e-07,"Down"
"216","CD38",251.096460564175,1.81745285070732,0.312559531948496,5.81474140102947,6.07276914619157e-09,5.23945026890862e-07,"Up"
"217","CD72",188.381801590144,1.39579986724654,0.240186232292808,5.81132337987191,6.19809027019574e-09,5.32293134909529e-07,"Up"
"218","NEFL",262.013449355075,2.96037347650145,0.510221939804965,5.80212892772322,6.54781826337792e-09,5.59748353928032e-07,"Up"
"219","PIK3R5",364.763065548275,1.20580859431662,0.208035561131578,5.79616575049865,6.78482091516255e-09,5.77360377054655e-07,"Up"
"220","WDFY4",307.774338111252,1.37621930134262,0.237505922578536,5.79446308707333,6.85400961554199e-09,5.80596923614729e-07,"Up"
"221","CCL4L2",175.512218522316,1.76986958407579,0.306280179636198,5.77859653268473,7.53263209101672e-09,6.35195165828903e-07,"Up"
"222","KLHDC7B",286.835715195248,1.947745432252,0.337149407105492,5.77709879122688,7.59996667532387e-09,6.37986391717728e-07,"Up"
"223","LGALS2",76.3473739167489,1.55221436447707,0.269267552076644,5.76458007103378,8.18614067713133e-09,6.82536437857745e-07,"Up"
"224","XCL2",28.9338112123977,2.14984518054313,0.372964135626647,5.76421423719737,8.20391511483875e-09,6.82536437857745e-07,"Up"
"225","SIGLEC6",9.11394863659432,1.90419760235434,0.330556989688065,5.76057279608962,8.38289658277656e-09,6.94327380962773e-07,"Up"
"226","SPNS3",23.4123555297122,1.63929989015154,0.285006176141689,5.75180479364971,8.8295717795263e-09,7.28088051695806e-07,"Up"
"227","FOXP3",198.973799439939,1.19093221057685,0.207810035048726,5.73086959105514,9.99170642218386e-09,8.16690530192186e-07,"Up"
"228","TIMD4",10.4713929654432,1.93262090218771,0.337227234890839,5.7309158402147,9.98898216215804e-09,8.16690530192186e-07,"Up"
"229","PLIN1",29.4192648834387,2.43067950203287,0.424423490851477,5.72701453719362,1.02213413046938e-08,8.31811862682416e-07,"Up"
"230","POU2F2",288.110339389356,1.31192600783538,0.229216324056493,5.7235278213084,1.04334472368487e-08,8.45381403069181e-07,"Up"
"231","SIGLEC10",163.808258163795,1.58791965344288,0.278452467426178,5.70265966080498,1.17952341635003e-08,9.51584345761872e-07,"Up"
"232","PTPRC",826.675375930016,1.57420519803432,0.276175695866347,5.70001351167462,1.19797932503355e-08,9.62307875057122e-07,"Up"
"233","HAVCR2",513.892050572504,1.29728681559799,0.227691174103365,5.69757181281459,1.21525798751856e-08,9.71997762034161e-07,"Up"
"234","CD8B2",3.60312687955007,2.27729217659796,0.400022827998102,5.69290554740233,1.24895486422391e-08,9.94680463661404e-07,"Up"
"235","IL2RG",419.036763588521,1.70560163160864,0.30043242905436,5.67715554867756,1.36952928976242e-08,1.08606586570266e-06,"Up"
"236","NFAM1",402.114396457751,1.31268135120739,0.231705650117618,5.66529711528852,1.46769993213591e-08,1.15898542098664e-06,"Up"
"237","WNT10A",124.103797576596,1.91192709455835,0.337704917527211,5.6615316962457,1.50027787752847e-08,1.17971217407681e-06,"Up"
"238","IL7R",271.377942372597,1.4825708018416,0.262127025763455,5.6559250139262,1.55009137004766e-08,1.21376062068102e-06,"Up"
"239","CD40LG",24.0673293310646,1.51738983325209,0.268330288016449,5.65493312167231,1.55906967313218e-08,1.2156829467988e-06,"Up"
"240","GIMAP6",459.504625047916,1.07426681614315,0.190063858239708,5.65213621407329,1.58465929160587e-08,1.23048793993196e-06,"Up"
"241","CLEC4E",77.8895091385775,1.73623501249664,0.307626710746494,5.64396702836191,1.66175911506324e-08,1.28500177876841e-06,"Up"
"242","RAB37",94.9688028036906,1.5355189437281,0.272226682189931,5.64058942119705,1.69469029031299e-08,1.30103499342354e-06,"Up"
"243","REM1",72.7763356033718,1.836378450989,0.32557534003214,5.64041014533754,1.69645580275768e-08,1.30103499342354e-06,"Up"
"244","PTPRT",6.18228758072259,2.64382004398742,0.468881859751125,5.63856329479396,1.71474792183699e-08,1.30967386358009e-06,"Up"
"245","PTGER4",187.991005413175,1.09220287752499,0.193928497241882,5.63198752663316,1.78144570581407e-08,1.3550621295327e-06,"Up"
"246","ITGB2",3187.48931679144,1.29247328783086,0.229844447441957,5.62325216995836,1.87395536842995e-08,1.41963545715693e-06,"Up"
"247","LILRA4",22.5572929322912,1.82914770558887,0.325840599080346,5.61362737102581,1.98128638098052e-08,1.48966621766803e-06,"Up"
"248","FAM3B",21.3146137033068,1.74304113407646,0.310507054049474,5.61353151673887,1.98238474984799e-08,1.48966621766803e-06,"Up"
"249","SLC7A7",599.847052859489,1.09362346212005,0.19556282425581,5.59218484536463,2.24229913177338e-08,1.67821231404533e-06,"Up"
"250","TNF",71.4720158490803,1.7063543302993,0.305427317886352,5.58677705094546,2.31322384450962e-08,1.72436958265125e-06,"Up"
"251","AC136428.1",3.96010427357749,3.82991098897015,0.686322077810711,5.58034064879149,2.40047985754807e-08,1.78228456674366e-06,"Up"
"252","ADAM11",498.717099884297,-2.00952112357082,0.360206234401954,-5.57880717113962,2.42173519347835e-08,1.79093083593899e-06,"Down"
"253","TMEM150B",52.144498938385,1.25772466878862,0.225683087285896,5.57296820029462,2.50435297670965e-08,1.84470838237e-06,"Up"
"254","APOA2",16.1001161582811,-3.77191967820976,0.677256627126117,-5.56940977339061,2.55603708970474e-08,1.875366425344e-06,"Down"
"255","CCDC69",626.404928303427,1.28485977951516,0.230775053223282,5.56758523752575,2.5829373766462e-08,1.88767140985014e-06,"Up"
"256","AKNA",1567.01816318467,0.93007511698326,0.167100674576374,5.56595668653727,2.60718003658855e-08,1.89794559226032e-06,"Up"
"257","SEPTIN1",375.885139190799,1.14519362165087,0.206172784645231,5.5545334153654,2.78354264244479e-08,2.01844749745529e-06,"Up"
"258","PTGER2",30.7447341192932,1.30919114693131,0.236115362061075,5.54470973639007,2.94442205326011e-08,2.1268313714944e-06,"Up"
"259","KLRC1",11.0193891836265,1.92089562074266,0.346674271266986,5.54092351221331,3.00880625850027e-08,2.16494646461046e-06,"Up"
"260","PACRG",15.7262418608888,1.90885879923403,0.344578446284709,5.53969297794334,3.03002387875363e-08,2.17182788478664e-06,"Up"
