"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"KRT9",90.3588063281838,-3.00313811704019,0.730093538657214,-4.1133607654761,3.89940268782531e-05,0.00525983151769307,"Down"
"HAS3",683.34401320835,-1.57688836880647,0.383425059111818,-4.11263774062979,3.9116394087071e-05,0.00525983151769307,"Down"
"DMKN",22671.6790469696,-1.90618321112218,0.464453785752978,-4.10413967889583,4.05822230344356e-05,0.00541621251304362,"Down"
"CNKSR1",193.87319493443,-1.41948376915829,0.346356792367457,-4.0983280837534,4.16145150617086e-05,0.00551284435084146,"Down"
"STK36",1499.04668246066,-0.511635800698042,0.125599348907775,-4.0735545617655,4.63009980532245e-05,0.00600034093611498,"Down"
"GRIA4",13.5287468938727,-1.65324591490717,0.405684779346227,-4.07519827973686,4.59751568733952e-05,0.00600034093611498,"Down"
"PLEKHG6",111.262607325547,-1.70426451083889,0.418117270904478,-4.07604428095543,4.58082992688214e-05,0.00600034093611498,"Down"
"CCDC58",517.262574202826,-0.479484688249019,0.117791951188104,-4.0706065517441,4.68908875295504e-05,0.00603306929912575,"Not"
"CEBPB",2579.07355772837,-0.704405637389804,0.173255752648757,-4.06569840608903,4.78888330848177e-05,0.00607407014814808,"Down"
"PAQR5",208.223391182099,-1.15470319519377,0.283902137049092,-4.06725784876392,4.75695982162773e-05,0.00607407014814808,"Down"
"EME2",486.038140368645,-0.595744235252249,0.146733101018617,-4.06005346521411,4.90614803404194e-05,0.00617898249583142,"Down"
"DCAF7",8684.17477062182,0.457369522941223,0.112710024306336,4.05793118896091,4.95093498742665e-05,0.00619178470735232,"Not"
"TMEM45B",355.17145239589,-1.85617204561567,0.457987681864075,-4.05288639655282,5.05895718709519e-05,0.00624929534827637,"Down"
"ARTN",38.7004528481879,-1.32872567639609,0.327876096641566,-4.05252377348095,5.0668073445542e-05,0.00624929534827637,"Down"
"LYPD3",11433.4394465323,-2.1640618120305,0.534866689628741,-4.04598352073972,5.21038984900335e-05,0.00633765831824606,"Down"
"TMEM54",2049.98240554021,-1.08674808581161,0.268811318436671,-4.04279139781696,5.28186085525886e-05,0.00633765831824606,"Down"
