"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant"
"14138","ENSG00000188693","CYP51A1-AS1",-1.0565,0.567731120253745,0.999184980162191,0.4808,"stable","no"
"14139","ENSG00000188706","ZDHHC9",-0.1817,0.0594536598888979,0.999184980162191,0.8817,"stable","no"
"14140","ENSG00000188725","SMIM15",0.1076,0.263740053603722,0.999184980162191,1.0774,"stable","no"
"14141","ENSG00000188730","VWC2",0.3192,0.877576939483675,0.999184980162191,1.2477,"stable","no"
"14142","ENSG00000188732","FAM221A",-0.7326,0.0910145141258621,0.999184980162191,0.6018,"stable","no"
"14143","ENSG00000188735","TMEM120B",-0.1521,0.1813649871092,0.999184980162191,0.8999,"stable","no"
"14144","ENSG00000188738","FSIP2",-0.2738,0.567691365670454,0.999184980162191,0.8271,"stable","no"
"14145","ENSG00000188739","RBM34",-0.0855,0.873470463593984,0.999184980162191,0.9424,"stable","no"
"14146","ENSG00000188747","NOXA1",-0.2409,0.223171431381579,0.999184980162191,0.8462,"stable","no"
"14147","ENSG00000188755","TBC1D3P2",-2.5383,0.555215549343817,0.999184980162191,0.1721,"stable","no"
"14148","ENSG00000188760","TMEM198",-0.0029,0.990887415582275,0.999184980162191,0.998,"stable","no"
"14149","ENSG00000188761","BCL2L15",1.5686,0.0232049462774437,0.769210385040401,2.9661,"up","yes"
"14150","ENSG00000188763","FZD9",-0.3048,0.382889632766773,0.999184980162191,0.8095,"stable","no"
"14151","ENSG00000188766","SPRED3",0.1482,0.154638644455475,0.999184980162191,1.1082,"stable","no"
"14152","ENSG00000188779","SKOR1",0.3799,0.597540037409341,0.999184980162191,1.3013,"stable","no"
"14153","ENSG00000188783","PRELP",0.1954,0.641762579305813,0.999184980162191,1.1451,"stable","no"
"14154","ENSG00000188785","ZNF548",-0.0156,0.922390139238786,0.999184980162191,0.9892,"stable","no"
"14155","ENSG00000188786","MTF1",0.0777,0.567516699180602,0.999184980162191,1.0553,"stable","no"
"14156","ENSG00000188800","TMCO2",-2.5496,0.517488668613483,0.999184980162191,0.1708,"stable","no"
"14157","ENSG00000188801","ZNF322P1",-0.3005,0.306708382987003,0.999184980162191,0.812,"stable","no"
"14158","ENSG00000188807","TMEM201",-0.0669,0.585888962284984,0.999184980162191,0.9547,"stable","no"
"14159","ENSG00000188811","NHLRC3",-0.2323,0.070630701716935,0.999184980162191,0.8513,"stable","no"
"14160","ENSG00000188818","ZDHHC11",0.3349,0.0204346423945281,0.724247679403245,1.2613,"up","yes"
